"c","t","v","h","l","o"
1.0481872,1576393200,9066.62535166,1.059,1.04699995,1.0529738
1.0481954,1576396800,5390.25489194,1.0562254,1.0477869,1.05161836
1.0480193,1576400400,5350.25515381,1.052308,1.0479998,1.0490231
1.0493325,1576404000,5825.92011369,1.051687,1.04730002,1.0488478
1.0479919,1576407600,5740.65673486,1.05,1.0476506,1.0485435
1.0489182,1576411200,5745.47530167,1.05,1.047,1.0485133
1.0477073,1576414800,7352.00976556,1.055,1.047,1.0493288
1.0511895,1576418400,5229.873,1.0521471,1.0474942,1.0476184
1.0522605,1576422000,5275.60117837,1.0522605,1.0475796,1.0492622
1.052637,1576425600,5325.94064597,1.0537783,1.047,1.0527212
1.0485992,1576429200,5314.74469145,1.0517319,1.0473,1.0517319
1.0486036,1576432800,5335.58433397,1.05053862,1.0473,1.048911
1.047504,1576436400,5301.21462425,1.050143,1.047,1.0493561
1.0490903,1576440000,5417.75423375,1.0501466,1.047,1.0475344
1.0513833,1576443600,5653.28450599,1.053,1.047,1.0491579
1.0510167,1576447200,5200.399,1.0522438,1.0475101,1.0495447
1.0494783,1576450800,5279.04,1.0523038,1.0476471,1.0496047
1.0511219,1576454400,5320.48250822,1.05299999,1.0477136,1.0523218
1.0488432,1576458000,5207.80566237,1.05299999,1.047616,1.0493277
1.0503353,1576461600,5464.098,1.0524519,1.0477229,1.0510981
1.0487141,1576465200,5853.26541046,1.056,1.0484269,1.0509393
1.0490141,1576468800,5416.164,1.0541221,1.0487592,1.0528098
1.0541667,1576472400,5306.706,1.0542854,1.0488218,1.0490226
1.049893,1576476000,5425.767,1.0539517,1.048,1.0495753
1.0486417,1576479600,5226.687,1.0515762,1.0485066,1.0514504
1.0512221,1576483200,5147.703,1.0515777,1.0484086,1.0493453
1.0525346,1576486800,5586.82332288,1.056,1.0486354,1.0486354
1.0497154,1576490400,5316.80061092,1.0548367,1.0490624,1.0532324
1.0532578,1576494000,5785.55085487,1.0551023,1.0485609,1.0486264
1.0528807,1576497600,5387.64066715,1.05479999,1.0498564,1.0515284
1.0510023,1576501200,5642.10971925,1.05479892,1.0505,1.0522724
1.0535438,1576504800,5406.87766781,1.0535438,1.04901,1.05
1.051094,1576508400,5584.10992202,1.056,1.0501132,1.0513708
1.0523613,1576512000,5305.8628,1.0553482,1.047009,1.0549856
1.0507234,1576515600,5698.90708999,1.0534581,1.0495,1.0526382
1.0567769,1576519200,11647.00979917,1.059,1.048,1.0505674
1.054133,1576522800,6354.45544305,1.06,1.0516337,1.0548248
1.0584339,1576526400,5799.29825485,1.0619794,1.0540045,1.0558387
1.0587115,1576530000,5306.83779106,1.06,1.0544869,1.0598197
1.0589432,1576533600,5653.16002385,1.0595477,1.05550002,1.0586252
1.05550004,1576537200,5279.86152344,1.05999995,1.05550004,1.0571996
1.05999993,1576540800,1106.21356636,1.05999995,1.05550004,1.05999995
1.06,1576544400,2066.76792296,1.06,1.05999993,1.05999994
1.06,1576548000,2570.05376506,1.06,1.06,1.06
1.0653243,1576551600,4586.52219345,1.06988,1.06,1.06
1.0629949,1576555200,5454.291,1.0656177,1.05550002,1.0635033
1.0572394,1576558800,5201.32717122,1.0630972,1.0563116,1.0589107
1.0573758,1576562400,5268.28144132,1.062,1.0562675,1.0593551
1.0608215,1576566000,5591.27623712,1.0645175,1.05550004,1.0592357
1.0607956,1576569600,5299.245,1.0640138,1.0565948,1.0570172
1.0596872,1576573200,5513.75448406,1.0638533,1.0565438,1.0606903
1.0583682,1576576800,5373.44917539,1.06344995,1.05700002,1.0607132
1.0601726,1576580400,6051.3167271,1.0641317,1.0573409,1.0573409
1.0625181,1576584000,6417.86618253,1.064,1.05700002,1.0608114
1.0588043,1576587600,10240.84746991,1.07037061,1.05774,1.0593572
1.0620673,1576591200,7093.83994427,1.071,1.058035,1.0617338
1.065794,1576594800,6265.38748698,1.0687295,1.06020002,1.062148
1.0624855,1576598400,5527.78286786,1.0684999,1.06080002,1.0635348
1.061859,1576602000,5579.02,1.0658323,1.0607976,1.0622605
1.0662865,1576605600,5198.14320694,1.068,1.0607905,1.062391
1.072,1576609200,12242.36297213,1.072,1.06200002,1.06200002
1.0687661,1576612800,287.505,1.0694202,1.0674483,1.0694202
1.0685183,1576616400,82.602,1.0685183,1.0685183,1.0685183
1.0664992,1576620000,492.49863876,1.06765367,1.065,1.0656555
1.0638734,1576623600,445.92103637,1.06899999,1.0638734,1.06899999
1.0607522,1576627200,891.09933849,1.0638446,1.0607522,1.0637722
1.0618631,1576630800,1228.491,1.0629195,1.0603022,1.0611926
1.0633925,1576634400,853.9313604,1.0633925,1.0603497,1.0617155
1.0663252,1576638000,636.45229202,1.0665861,1.0617514,1.0617514
1.0643821,1576641600,546.462,1.0663511,1.0634873,1.0663511
1.0699999,1576645200,484.6387973,1.0699999,1.0636749,1.0639745
1.0678318,1576648800,153.225,1.0678318,1.0657982,1.0657982
1.0664106,1576652400,318.789,1.0688801,1.0664106,1.0682061
1.0612847,1576659600,3908.32346553,1.06639519,1.0582733,1.0659639
1.0624164,1576663200,5455.43015009,1.066,1.05886738,1.0597644
1.0653154,1576666800,3723.15597675,1.066,1.062,1.0627642
1.0605194,1576670400,5299.99430727,1.06639519,1.0604279,1.0644453
1.0665108,1576674000,6268.48626899,1.0672636,1.06,1.0605842
1.0684632,1576677600,5760.15216476,1.07,1.061,1.06498994
1.0621101,1576681200,5513.19398705,1.0703001,1.0609635,1.0670625
1.064498,1576684800,5723.18267807,1.06899999,1.06,1.0614652
1.0664045,1576688400,6028.49277569,1.067,1.061,1.0641848
1.0646592,1576692000,5028.57033168,1.06799999,1.06200002,1.0633605
1.059761,1576702800,2940.38185766,1.072,1.057,1.06799999
1.047,1576706400,5877.7143917,1.062855,1.047,1.0608652
1.052792,1576710000,5279.13409765,1.0606658,1.047,1.0553037
1.0470588,1576713600,26909.22860177,1.0586336,1.03711,1.0560044
1.0540483,1576717200,6311.09602603,1.0608358,1.0473962,1.05679997
1.0519497,1576720800,5529.56827627,1.0572971,1.0451987,1.0572839
1.0477875,1576724400,5514.075,1.0575149,1.0471036,1.0540222
1.0512021,1576728000,5264.66329626,1.0576995,1.0462859,1.0462859
1.06989984,1576731600,6303.09688695,1.0699,1.0482921,1.0496126
1.0530198,1576735200,5986.90425983,1.0591027,1.0504515,1.0591027
1.0510187,1576738800,5345.64,1.0558691,1.0504894,1.0508252
1.0504393,1576742400,5374.7089566,1.0556792,1.05000004,1.050714
1.0507681,1576746000,5630.68329983,1.0558499,1.0487061,1.052543
1.05788003,1576749600,5529.9205924,1.05899262,1.04791064,1.0534337
1.0537148,1576753200,5973.59474614,1.0580934,1.0484808,1.0498492
1.0548078,1576756800,5920.9500384,1.05899255,1.0492317,1.0541278
1.0530626,1576760400,6415.45324364,1.0550914,1.0483298,1.0493889
1.0488906,1576764000,5689.20987131,1.0535466,1.047,1.0527372
